Media Owner,Site ID/Number,Suburb,City,Province,Country,Latitude,Longitude,Network:
Alive Advertising,ALV 02,Balfour,Johannesburg,Gauteng,South Africa,-26.13941,28.08687,outdoor.billboards.roadside
Alive Advertising,ALV 03,Benmore,Johannesburg,Gauteng,South Africa,-26.10084,28.04989,outdoor.billboards.roadside
Alive Advertising,ALV 04,Braamfontein,Johannesburg,Gauteng,South Africa,-26.195944,28.029159,outdoor.billboards.roadside
Alive Advertising,ALV 05,Bramley,Johannesburg,Gauteng,South Africa,-26.12694,28.079459,outdoor.billboards.roadside
Alive Advertising,ALV 06,Bruma,Johannesburg,Gauteng,South Africa,-26.182438,28.111768,outdoor.billboards.roadside
Alive Advertising,ALV 08,Cresta,Johannesburg,Gauteng,South Africa,-26.128339,27.969859,outdoor.billboards.roadside
Alive Advertising,ALV 09,East Rand,Johannesburg,Gauteng,South Africa,-26.183074,28.237058,outdoor.billboards.roadside
Alive Advertising,ALV 10,Fourways,Johannesburg,Gauteng,South Africa,-26.0427683,28.0155411,outdoor.billboards.roadside
Alive Advertising,ALV 11,Grayston Drive,Johannesburg,Gauteng,South Africa,-26.1092404,28.0775395,outdoor.billboards.roadside
Alive Advertising,ALV 13,Kempton Park,Johannesburg,Gauteng,South Africa,-26.100749,28.22431,outdoor.billboards.roadside
Alive Advertising,ALV 14,Houghton,Johannesburg,Gauteng,South Africa,-26.1555286,28.0574761,outdoor.billboards.highway
Alive Advertising,ALV 15,Houghton,Johannesburg,Gauteng,South Africa,-26.1560268,28.0572809,outdoor.billboards.highway
Alive Advertising,ALV 16,Rosebank,Johannesburg,Gauteng,South Africa,-26.148834,28.034393,outdoor.billboards.roadside
Alive Advertising,ALV 17,Randburg,Johannesburg,Gauteng,South Africa,-26.0991154,28.0102454,outdoor.billboards.roadside
Alive Advertising,ALV 18,Soweto,Johannesburg,Gauteng,South Africa,-26.227218,27.931645,outdoor.billboards.roadside
Alive Advertising,ALV 19,Struben Valley,Johannesburg,Gauteng,South Africa,-26.121132,27.90162,outdoor.billboards.roadside
Alive Advertising,ALV 20,Thembisa,Johannesburg,Gauteng,South Africa,-26.003605,28.210789,outdoor.billboards.roadside
Alive Advertising,ALV 21,The Glen,Johannesburg,Gauteng,South Africa,-26.2694726,28.0481466,outdoor.billboards.roadside
Alive Advertising,ALV 22,Wynberg,Johannesburg,Gauteng,South Africa,-26.1161877,28.0844686,outdoor.billboards.roadside
Alive Advertising,ALV 23,Hatfield,Tshwane,Gauteng,South Africa,-25.7453808,28.240768,outdoor.billboards.roadside
Alive Advertising,ALV 28,Prinshof,Tshwane,Gauteng,South Africa,-25.7338193,28.2042278,outdoor.billboards.roadside
